Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2011
1	11M	CAPITAL	VALLE ESCONDIDO	1.509
1	4E	CAPITAL	NUESTRO HOGAR III	976
1	14H	CAPITAL	MERCANTIL	1.002
21	326C	SANTA MARIA	SAN NICOLAS	497
1	13O	CAPITAL	CHACHAPOYAS	682
12	158B	PUNILLA	ESTANCIA VIEJA	530
21	316F	SANTA MARIA	VALLE DE ANIZACATE	420
1	5H	CAPITAL	VILLA BOEDO	1.030
1	10M	CAPITAL	AMPLIACION CABILDO	575
19	276	SAN JAVIER	YACANTO	459
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	606
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	1.359
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	1.355
1	4D	CAPITAL	VILLA EUCARISTICA	981
3	40A	COLON	MENDIOLAZA	5.487
1	11L	CAPITAL	COUNTRYS DEL OESTE	1.603
1	6E	CAPITAL	LA FLORESTA SUD	1.308
18	263C	SAN ALBERTO	ARROYO DE LOS PATOS	379
1	5I	CAPITAL	COLINAS DEL SUR	3.258
21	316A	SANTA MARIA	ANIZACATE	2.405
21	316G	SANTA MARIA	VILLA EL PRADO	769
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	836
19	269A	SAN JAVIER	QUEBRACHO LADEADO	170
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	1.123
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	180
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	2.752
2	23	CALAMUCHITA	VILLA YACANTO	937
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	1.611
2	20	CALAMUCHITA	LOS REARTES	942
1	10K	CAPITAL	VICOR	3.341
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	1.710
21	328	SANTA MARIA	POTRERO DE GARAY	899
12	158A	PUNILLA	CABALANGO	307
1	13L	CAPITAL	VILLA GRAN PARQUE	301
21	316E	SANTA MARIA	LOS CEDROS	826
2	328A	CALAMUCHITA	LA CUMBRECITA	465
4	57	CRUZ DEL EJE	TUCLAME	667
12	156B	PUNILLA	CUESTA BLANCA	306
12	156C	PUNILLA	MAYU SUMAJ	753
10	138	MINAS	CIENAGA DEL CORO	605
3	31B	COLON	VILLA CERRO AZUL	212
1	8	CAPITAL	LA FLORESTA NORTE	523
3	28A	COLON	CALERA CENTRAL	8.555
4	46	CRUZ DEL EJE	GUANACO MUERTO	599
21	316B	SANTA MARIA	LA PAISANITA	106
3	35	COLON	MALVINAS ARGENTINAS	8.454
12	156A	PUNILLA	YCHO CRUZ	1.176
12	147A	PUNILLA	SAN ROQUE	843
2	18D	CALAMUCHITA	VILLA QUILLINZO	95
1	13D	CAPITAL	JARDIN ARENALES	1.859
12	149	PUNILLA	CASA GRANDE	527
3	34	COLON	JUAREZ CELMAN	7.344
21	316H	SANTA MARIA	VILLA LA BOLSA	738
11	146B	POCHO	SAN JERONIMO	160
