Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2015
1	11M	CAPITAL	VALLE ESCONDIDO	3.960
1	4E	CAPITAL	NUESTRO HOGAR III	2.135
1	14H	CAPITAL	MERCANTIL	3.606
21	326C	SANTA MARIA	SAN NICOLAS	1.744
1	13O	CAPITAL	CHACHAPOYAS	1.265
12	158B	PUNILLA	ESTANCIA VIEJA	1.038
21	316F	SANTA MARIA	VALLE DE ANIZACATE	793
1	5H	CAPITAL	VILLA BOEDO	1.742
1	10M	CAPITAL	AMPLIACION CABILDO	1.555
19	276	SAN JAVIER	YACANTO	1.177
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	1.095
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	2.326
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	2.325
1	4D	CAPITAL	VILLA EUCARISTICA	1.942
3	40A	COLON	MENDIOLAZA	9.937
1	11L	CAPITAL	COUNTRYS DEL OESTE	2.576
1	6E	CAPITAL	LA FLORESTA SUD	2.121
18	263C	SAN ALBERTO	ARROYO DE LOS PATOS	610
1	5I	CAPITAL	COLINAS DEL SUR	4.756
21	316A	SANTA MARIA	ANIZACATE	4.043
21	316G	SANTA MARIA	VILLA EL PRADO	1.365
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	1.348
19	269A	SAN JAVIER	QUEBRACHO LADEADO	254
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	1.746
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	430
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	4.474
2	23	CALAMUCHITA	VILLA YACANTO	1.443
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	2.572
2	20	CALAMUCHITA	LOS REARTES	1.328
1	10K	CAPITAL	VICOR	4.888
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	2.540
21	328	SANTA MARIA	POTRERO DE GARAY	1.241
12	158A	PUNILLA	CABALANGO	440
1	13L	CAPITAL	VILLA GRAN PARQUE	420
21	316E	SANTA MARIA	LOS CEDROS	1.136
2	328A	CALAMUCHITA	LA CUMBRECITA	762
4	57	CRUZ DEL EJE	TUCLAME	1.219
12	156B	PUNILLA	CUESTA BLANCA	425
12	156C	PUNILLA	MAYU SUMAJ	1.115
10	138	MINAS	CIENAGA DEL CORO	926
3	31B	COLON	VILLA CERRO AZUL	363
1	8	CAPITAL	LA FLORESTA NORTE	702
3	28A	COLON	CALERA CENTRAL	12.301
4	46	CRUZ DEL EJE	GUANACO MUERTO	958
21	316B	SANTA MARIA	LA PAISANITA	165
3	35	COLON	MALVINAS ARGENTINAS	11.928
12	156A	PUNILLA	YCHO CRUZ	1.620
12	147A	PUNILLA	SAN ROQUE	1.103
2	18D	CALAMUCHITA	VILLA QUILLINZO	160
1	13D	CAPITAL	JARDIN ARENALES	2.553
12	149	PUNILLA	CASA GRANDE	643
3	34	COLON	JUAREZ CELMAN	9.863
21	316H	SANTA MARIA	VILLA LA BOLSA	974
11	146B	POCHO	SAN JERONIMO	290
3	41A	COLON	SALDAN	10.787
24	357	TOTORAL	SINSACATE	1.774
21	316D	SANTA MARIA	LA SERRANITA	427
1	14Q	CAPITAL	VILLA WARCALDE	1.168
21	316I	SANTA MARIA	VILLA LOS AROMOS	850
9	122	MARCOS JUAREZ	BARGE	228
1	11F	CAPITAL	LOS ROBLES	7.350
1	12A	CAPITAL	CARCANO	5.497
1	5C	CAPITAL	EMPALME	17.670
3	35A	COLON	MI GRANJA	915
3	38	COLON	SALSIPUEDES	8.733
12	151	PUNILLA	CHARBONIER	658
21	328B	SANTA MARIA	VILLA CIUDAD DE AMERICA	744
19	275A	SAN JAVIER	LOS CERRILLOS	2.021
1	14C	CAPITAL	ARGUELLO SEGUNDO	4.650
18	261A	SAN ALBERTO	SAN LORENZO	961
1	14A	CAPITAL	ARGUELLO NORTE	17.290
1	13G	CAPITAL	PARQUE LICEO	17.986
12	147	PUNILLA	BIALET MASSE	5.554
14	211	RIO PRIMERO	MONTE CRISTO	9.441
7	91C	ISCHILIN	VILLA GUTIERREZ	279
21	316C	SANTA MARIA	LA RANCHERITA	159
21	324	SANTA MARIA	FALDA DEL CARMEN	1.266
18	265C	SAN ALBERTO	SAUCE ARRIBA	797
4	54	CRUZ DEL EJE	SAN MARCOS SIERRAS	2.333
19	274A	SAN JAVIER	LA POBLACION	459
21	317	SANTA MARIA	BAJO CHICO	298
1	14E	CAPITAL	CERRO NORTE	6.463
2	15A	CALAMUCHITA	VILLA AMANCAY	505
2	24A	CALAMUCHITA	VILLA DEL DIQUE	3.325
1	14I	CAPITAL	SANTA CECILIA	5.146
2	20A	CALAMUCHITA	VILLA GENERAL BELGRANO	7.501
13	172	RIO CUARTO	HOLMBERG	4.707
20	295A	SAN JUSTO	TORO PUJIO	252
1	12H	CAPITAL	LOS CERVECEROS	10.415
4	44A	CRUZ DEL EJE	LAS PLAYAS	618
4	55A	CRUZ DEL EJE	LA BATEA	169
3	30	COLON	COLONIA TIROLESA	5.315
20	288A	SAN JUSTO	VILLA SAN ESTEBAN	189
2	26	CALAMUCHITA	SANTA ROSA	11.640
19	271	SAN JAVIER	LAS TAPIAS	1.523
10	138D	MINAS	TOSNO	186
3	41	COLON	VILLA ALLENDE	28.954
3	28	COLON	CALERA	17.439
1	5F	CAPITAL	RENACIMIENTO	4.482
24	352A	TOTORAL	LOS MISTOLES	144
13	179	RIO CUARTO	LAS HIGUERAS	6.209
15	227B	RIO SECO	CERRO COLORADO	339
26	372A	UNION	ANA ZUMARAN	175
12	152A	PUNILLA	VILLA GIARDINO	4.997
1	4C	CAPITAL	INAUDI	4.300
3	27	COLON	ASCOCHINGA	3.132
12	155	PUNILLA	SAN ESTEBAN	753
12	158	PUNILLA	TANTI	5.927
13	187	RIO CUARTO	PUEYRREDON	103
1	13K	CAPITAL	VILLA ESQUIU	2.110
21	331	SANTA MARIA	TOLEDO	4.299
1	8A	CAPITAL	PALMAR	3.931
1	14	CAPITAL	ARGUELLO	6.656
19	270	SAN JAVIER	LAS ROSAS	4.364
4	50A	CRUZ DEL EJE	LOS CHAÑARITOS	769
2	16A	CALAMUCHITA	VILLA LA MERCED	34
18	261	SAN ALBERTO	BROCHERO	5.650
