Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2017
13	188	RIO CUARTO	RIO CUARTO	76.969
6	89	GRAL SAN MARTIN	VILLA MARIA	72.455
12	156	PUNILLA	VILLA CARLOS PAZ	56.431
21	316	SANTA MARIA	ALTA GRACIA	43.769
23	348	TERCERO ARRIBA	RIO TERCERO	42.845
1	13J	CAPITAL	VILLA AZALAIS	31.918
26	375	UNION	BELL VILLE	31.325
13	165	RIO CUARTO	BANDA NORTE	30.777
3	41	COLON	VILLA ALLENDE	30.499
3	33	COLON	JESUS MARIA	29.710
20	310	SAN JUSTO	SAN FRANCISCO SECC. SUR	28.395
19	268	SAN JAVIER	DOLORES	28.139
20	310A	SAN JUSTO	SAN FRANCISCO SECC. NORTE	28.054
1	12D	CAPITAL	JOSE IGNACIO DIAZ	26.913
1	10L	CAPITAL	VILLA EL LIBERTADOR	26.710
13	186	RIO CUARTO	PUEBLO ALBERDI	26.548
4	44	CRUZ DEL EJE	CRUZ DEL EJE	26.084
9	133	MARCOS JUAREZ	MARCOS JUAREZ	23.653
1	11A	CAPITAL	ALTO ALBERDI	23.555
1	12B	CAPITAL	COLON	22.935
1	7B	CAPITAL	ALTA CORDOBA	22.752
1	10G	CAPITAL	OBSERVATORIO	21.121
1	4	CAPITAL	NUEVA CORDOBA	21.029
1	3	CAPITAL	SECCIONAL TERCERA	20.676
20	279	SAN JUSTO	ARROYITO	20.379
1	12F	CAPITAL	JOSE HERNANDEZ	20.222
1	8B	CAPITAL	PUEYRREDON	19.927
12	150	PUNILLA	COSQUIN	19.887
3	37	COLON	RIO CEBALLOS	19.465
7	95	ISCHILIN	DEAN FUNES	19.296
1	13G	CAPITAL	PARQUE LICEO	18.982
3	28	COLON	CALERA	18.809
6	90	GRAL SAN MARTIN	VILLA NUEVA	18.740
1	5C	CAPITAL	EMPALME	18.384
17	248	ROQUE SAENZ PEÑA	LABOULAYE	18.335
1	14A	CAPITAL	ARGUELLO NORTE	18.293
1	10	CAPITAL	BELLA VISTA	18.191
16	243	RIO SEGUNDO	RIO SEGUNDO	18.052
3	40	COLON	UNQUILLO	18.018
1	4A	CAPITAL	PUEBLO LAS FLORES	17.963
1	11J	CAPITAL	SANTA ANA	17.627
1	13H	CAPITAL	PATRICIOS	17.543
3	29	COLON	COLONIA CAROYA	17.415
1	13A	CAPITAL	AYACUCHO	17.047
20	304	SAN JUSTO	MORTEROS	16.673
1	7E	CAPITAL	MARQUES DE SOBREMONTE	16.631
1	11E	CAPITAL	LOS PLATANOS	16.250
1	1	CAPITAL	SECCIONAL PRIMERA	16.095
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	16.007
1	4B	CAPITAL	VILLA REVOL	15.815
1	5G	CAPITAL	SAN VICENTE	15.742
1	9F	CAPITAL	SAN MARTIN	15.282
20	298	SAN JUSTO	LAS VARILLAS	14.980
1	11C	CAPITAL	LAS PALMAS	14.249
1	9C	CAPITAL	LOS PARAISOS	14.098
12	154	PUNILLA	LA FALDA	14.079
1	5	CAPITAL	ALTAMIRA	13.933
1	13C	CAPITAL	GENERAL BUSTOS	13.927
1	11G	CAPITAL	PARQUE REPUBLICA	13.858
3	28A	COLON	CALERA CENTRAL	13.522
16	245	RIO SEGUNDO	VILLA DEL ROSARIO	13.476
3	35	COLON	MALVINAS ARGENTINAS	13.138
