Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007
13	188	RIO CUARTO	RIO CUARTO	71.707
6	89	GRAL SAN MARTIN	VILLA MARIA	57.785
12	156	PUNILLA	VILLA CARLOS PAZ	44.983
23	348	TERCERO ARRIBA	RIO TERCERO	36.352
21	316	SANTA MARIA	ALTA GRACIA	34.151
1	13J	CAPITAL	VILLA AZALAIS	27.594
20	310	SAN JUSTO	SAN FRANCISCO SECC. SUR	26.054
26	375	UNION	BELL VILLE	25.942
20	310A	SAN JUSTO	SAN FRANCISCO SECC. NORTE	24.016
1	12B	CAPITAL	COLON	23.755
13	165	RIO CUARTO	BANDA NORTE	23.518
3	33	COLON	JESUS MARIA	23.411
1	11A	CAPITAL	ALTO ALBERDI	23.288
19	268	SAN JAVIER	DOLORES	22.840
1	7B	CAPITAL	ALTA CORDOBA	21.765
1	10L	CAPITAL	VILLA EL LIBERTADOR	21.629
13	186	RIO CUARTO	PUEBLO ALBERDI	21.565
4	44	CRUZ DEL EJE	CRUZ DEL EJE	21.087
3	41	COLON	VILLA ALLENDE	20.172
1	10G	CAPITAL	OBSERVATORIO	20.061
9	133	MARCOS JUAREZ	MARCOS JUAREZ	20.008
1	8B	CAPITAL	PUEYRREDON	19.272
1	12D	CAPITAL	JOSE IGNACIO DIAZ	19.031
1	3	CAPITAL	SECCIONAL TERCERA	19.027
1	4	CAPITAL	NUEVA CORDOBA	18.133
1	5G	CAPITAL	SAN VICENTE	17.419
1	12F	CAPITAL	JOSE HERNANDEZ	17.414
1	10	CAPITAL	BELLA VISTA	17.191
1	13H	CAPITAL	PATRICIOS	17.040
1	13A	CAPITAL	AYACUCHO	17.010
1	11J	CAPITAL	SANTA ANA	16.901
17	248	ROQUE SAENZ PEÑA	LABOULAYE	16.514
7	95	ISCHILIN	DEAN FUNES	16.064
20	279	SAN JUSTO	ARROYITO	16.042
1	1	CAPITAL	SECCIONAL PRIMERA	15.602
12	150	PUNILLA	COSQUIN	15.546
1	9F	CAPITAL	SAN MARTIN	15.444
1	4A	CAPITAL	PUEBLO LAS FLORES	15.425
16	243	RIO SEGUNDO	RIO SEGUNDO	14.763
1	13C	CAPITAL	GENERAL BUSTOS	14.527
1	4B	CAPITAL	VILLA REVOL	14.430
1	11E	CAPITAL	LOS PLATANOS	14.304
1	9C	CAPITAL	LOS PARAISOS	14.116
1	7E	CAPITAL	MARQUES DE SOBREMONTE	13.787
3	37	COLON	RIO CEBALLOS	13.511
20	304	SAN JUSTO	MORTEROS	13.255
6	90	GRAL SAN MARTIN	VILLA NUEVA	13.175
1	11C	CAPITAL	LAS PALMAS	13.087
1	11D	CAPITAL	LOS NARANJOS	12.993
1	5	CAPITAL	ALTAMIRA	12.947
3	29	COLON	COLONIA CAROYA	12.789
3	28	COLON	CALERA	12.465
3	40	COLON	UNQUILLO	12.439
20	298	SAN JUSTO	LAS VARILLAS	12.421
12	154	PUNILLA	LA FALDA	12.360
1	13G	CAPITAL	PARQUE LICEO	11.663
1	10B	CAPITAL	CIUDADELA	11.406
1	14A	CAPITAL	ARGUELLO NORTE	11.218
1	11I	CAPITAL	RESIDENCIAL SAN ROQUE	11.187
16	239	RIO SEGUNDO	ONCATIVO	10.974
1	7G	CAPITAL	PANAMERICANO	10.883
1	10F	CAPITAL	MATIENZO	10.837
16	245	RIO SEGUNDO	VILLA DEL ROSARIO	10.796
1	5C	CAPITAL	EMPALME	10.665
1	10J	CAPITAL	SANTA ISABEL	10.608
1	14M	CAPITAL	VILLA CENTENARIO	10.601
23	344	TERCERO ARRIBA	OLIVA	10.583
1	10H	CAPITAL	PARQUE CAPITAL	10.384
1	10E	CAPITAL	ESTACION FLORES	10.284
1	5E	CAPITAL	VILLA BUSTOS (En 2007 era PRIMERO DE MAYO)	10.232
1	6C	CAPITAL	GRAL PAZ	10.155
16	240	RIO SEGUNDO	PILAR	9.933
1	11G	CAPITAL	PARQUE REPUBLICA	9.622
1	5D	CAPITAL	MALDONADO	9.568
8	112	JUAREZ CELMAN	LA CARLOTA	9.548
1	13	CAPITAL	LEANDRO N. ALEM	9.539
