Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2013
1	11B	CAPITAL	DON BOSCO	6.582
16	231	RIO SEGUNDO	CAPILLA DEL CARMEN	346
22	335	SOBREMONTE	CHAÑAR	2.451
8	116	JUAREZ CELMAN	REDUCCION	1.367
15	227C	RIO SECO	CHAÑAR VIEJO	209
1	10F	CAPITAL	MATIENZO	12.203
9	134	MARCOS JUAREZ	MONTE BUEY	5.174
1	7G	CAPITAL	PANAMERICANO	11.682
9	133	MARCOS JUAREZ	MARCOS JUAREZ	22.485
12	153	PUNILLA	LA CUMBRE	6.570
4	55	CRUZ DEL EJE	SERREZUELA	2.565
23	348	TERCERO ARRIBA	RIO TERCERO	40.503
16	230	RIO SEGUNDO	CALCHIN	2.056
13	182	RIO CUARTO	LAS VERTIENTES	894
13	161	RIO CUARTO	ADELIA MARIA	6.039
6	74	GRAL SAN MARTIN	ARROYO CABRAL	2.762
20	289	SAN JUSTO	EL FORTIN	1.138
1	5D	CAPITAL	MALDONADO	10.121
18	266	SAN ALBERTO	SAN VICENTE	1.377
25	360A	TULUMBA	EL RODEO	217
13	191	RIO CUARTO	SAN BASILIO	3.092
8	112	JUAREZ CELMAN	LA CARLOTA	10.695
23	342	TERCERO ARRIBA	LAS PERDICES	4.034
1	13F	CAPITAL	NUEVA ITALIA	7.605
8	107	JUAREZ CELMAN	CARNERILLO	1.796
13	184	RIO CUARTO	MOLDES	7.829
20	310A	SAN JUSTO	SAN FRANCISCO SECC. NORTE	26.071
7	99	ISCHILIN	QUILINO ESTACION	3.922
1	4A	CAPITAL	PUEBLO LAS FLORES	17.240
1	12F	CAPITAL	JOSE HERNANDEZ	18.912
20	311	SAN JUSTO	SAN PEDRO	281
2	25	CALAMUCHITA	SAN AGUSTIN	2.902
1	4	CAPITAL	NUEVA CORDOBA	19.728
13	163	RIO CUARTO	ALPA CORRAL	1.069
20	303	SAN JUSTO	MIRAMAR DE ANSENUZA (el DE ANSEUNZA se agrega en 2017)	2.023
1	13J	CAPITAL	VILLA AZALAIS	29.627
7	93	ISCHILIN	COPACABANA	310
26	381	UNION	CINTRA	1.272
9	136	MARCOS JUAREZ	ROCA	2.476
16	241	RIO SEGUNDO	POZO DEL MOLLE	5.236
17	257	ROQUE SAENZ PEÑA	SERRANO	2.835
1	11H	CAPITAL	QUEBRADA LAS ROSAS	6.459
2	19	CALAMUCHITA	LOS CONDORES	2.722
20	294	SAN JUSTO	LA PAQUITA	968
20	293	SAN JUSTO	LA FRANCIA	3.423
1	12C	CAPITAL	CORONEL OLMEDO	4.362
26	394	UNION	ORDOÑEZ	2.183
13	193	RIO CUARTO	TOSQUITA	520
13	162	RIO CUARTO	ALCIRA	5.194
26	400	UNION	SAN MARCOS SUD	2.601
14	212B	RIO PRIMERO	EL CRISPIN	253
20	285	SAN JUSTO	DEVOTO	5.246
20	306	SAN JUSTO	PROSPERIDAD	524
12	154	PUNILLA	LA FALDA	13.501
26	377	UNION	BREMEN	192
20	307	SAN JUSTO	QUEBRACHO HERRADO	602
2	26A	CALAMUCHITA	SEGUNDA USINA	119
1	11E	CAPITAL	LOS PLATANOS	15.491
4	50	CRUZ DEL EJE	MEDIA NARANJA	808
20	314	SAN JUSTO	TRANSITO	2.855
6	77	GRAL SAN MARTIN	ETRURIA	3.433
11	146	POCHO	SALSACATE	1.764
13	166	RIO CUARTO	BERROTARAN	6.081
13	174	RIO CUARTO	LA CAUTIVA	705
6	78	GRAL SAN MARTIN	LA LAGUNA	1.341
20	295	SAN JUSTO	LA TORDILLA	1.476
19	267	SAN JAVIER	CONLARA	391
16	244	RIO SEGUNDO	SANTIAGO TEMPLE	2.364
9	129	MARCOS JUAREZ	ISLA VERDE	4.062
8	105	JUAREZ CELMAN	BENGOLEA	912
20	288	SAN JUSTO	EL ARAÑADO	1.873
21	330A	SANTA MARIA	JOSE DE LA QUINTANA	454
13	189	RIO CUARTO	SAMPACHO	7.218
20	280	SAN JUSTO	BALNEARIA	5.554
13	170	RIO CUARTO	ELENA	2.771
26	391	UNION	MONTE MAIZ	6.484
6	82	GRAL SAN MARTIN	PALESTINA	528
16	235	RIO SEGUNDO	LAGUNA LARGA	6.643
8	118	JUAREZ CELMAN	UCACHA	4.707
10	139B	MINAS	LA PLAYA	234
2	26B	CALAMUCHITA	SAN IGNACIO	127
20	283A	SAN JUSTO	COLONIA PICHANAS	192
13	171	RIO CUARTO	ESPINILLO	148
9	131	MARCOS JUAREZ	LEONES	9.021
1	6D	CAPITAL	JUNIORS	6.929
5	60	GENERAL ROCA	DEL CAMPILLO	3.117
13	181	RIO CUARTO	LOS CUATRO VIENTOS	159
26	389	UNION	LABORDE	5.005
23	340	TERCERO ARRIBA	HERNANDO	9.511
20	308	SAN JUSTO	SACANTA	2.791
24	351A	TOTORAL	LA PAMPA	671
11	146C	POCHO	LOS TALARES	115
16	239	RIO SEGUNDO	ONCATIVO	11.812
16	236	RIO SEGUNDO	LAS JUNTURAS	1.495
17	248	ROQUE SAENZ PEÑA	LABOULAYE	17.566
17	252	ROQUE SAENZ PEÑA	LEVALLE	4.968
1	14B	CAPITAL	ARGUELLO PRIMERO	7.262
15	226A	RIO SECO	PUESTO DE CASTRO	374
5	70	GENERAL ROCA	VILLA HUIDOBRO	4.878
1	5A	CAPITAL	COLONIA LOLA	5.097
26	378	UNION	CANALS	7.548
1	6F	CAPITAL	YAPEYU	7.845
1	9D	CAPITAL	POETA LUGONES	9.004
7	94	ISCHILIN	CHUÑA	597
20	283	SAN JUSTO	CONCEPCION	1.659
25	369	TULUMBA	SAN PEDRO NORTE	542
8	117	JUAREZ CELMAN	SANTA EUFEMIA	2.041
5	62	GENERAL ROCA	ITALO	1.076
12	156E	PUNILLA	TALA HUASI	201
11	145A	POCHO	LAS PALMAS	225
9	119	MARCOS JUAREZ	ALEJO LEDESMA	3.019
1	4B	CAPITAL	VILLA REVOL	15.518
23	337	TERCERO ARRIBA	ASCASUBI	2.210
23	341	TERCERO ARRIBA	JAMES CRAIK	4.471
8	103	JUAREZ CELMAN	ASSUNTA	67
9	125	MARCOS JUAREZ	CORRAL DE BUSTOS	8.827
13	178A	RIO CUARTO	LAS ALBAHACAS	434
15	228	RIO SECO	SEBASTIAN ELCANO	2.449
26	395	UNION	PASCANAS	2.435
20	310	SAN JUSTO	SAN FRANCISCO SECC. SUR	27.283
16	232	RIO SEGUNDO	CARRILOBO	1.705
1	11C	CAPITAL	LAS PALMAS	14.779
2	18	CALAMUCHITA	LA CRUZ	1.449
17	253	ROQUE SAENZ PEÑA	MELO	1.102
1	3	CAPITAL	SECCIONAL TERCERA	19.883
20	296	SAN JUSTO	LASPIUR	2.201
1	13B	CAPITAL	EL GATEADO	162
9	120	MARCOS JUAREZ	ARIAS	6.392
1	7D	CAPITAL	COFICO	8.690
20	277	SAN JUSTO	ALICIA	2.968
14	214	RIO PRIMERO	PIQUILLIN	1.666
24	351	TOTORAL	CAÑADA DE LUQUE	1.142
26	393	UNION	NOETINGER	4.377
1	5	CAPITAL	ALTAMIRA	13.463
13	188	RIO CUARTO	RIO CUARTO	76.305
23	344	TERCERO ARRIBA	OLIVA	10.982
20	313	SAN JUSTO	SEEBER	637
1	9E	CAPITAL	PROVIDENCIA	4.681
1	2	CAPITAL	SECCIONAL SEGUNDA	5.850
5	61	GENERAL ROCA	HUINCA RENANCO	7.354
1	10B	CAPITAL	CIUDADELA	11.968
3	29A	COLON	TINOCO	261
1	7F	CAPITAL	JORGE NEWBERY	8.548
23	349	TERCERO ARRIBA	TANCACHA	4.677
26	382	UNION	CHILIBROSTE	612
18	260	SAN ALBERTO	AMBUL	974
13	194	RIO CUARTO	WASHINGTON	527
16	230A	RIO SEGUNDO	CALCHIN OESTE	647
20	297	SAN JUSTO	LAS VARAS	1.177
16	244A	RIO SEGUNDO	LOS CHAÑARITOS	285
23	346	TERCERO ARRIBA	PAMPAYASTA SUD	1.269
1	10	CAPITAL	BELLA VISTA	17.496
21	329	SANTA MARIA	SAN CLEMENTE	176
9	126	MARCOS JUAREZ	CRUZ ALTA	6.221
20	301	SAN JUSTO	MARULL	1.759
26	397	UNION	SAN ANTONIO	1.422
23	338	TERCERO ARRIBA	CORRALITO	1.614
1	10G	CAPITAL	OBSERVATORIO	21.035
13	175	RIO CUARTO	LA GILDA	64
6	76	GRAL SAN MARTIN	CHAZON	961
1	8C	CAPITAL	VILLA LOS PINOS	8.377
2	22	CALAMUCHITA	RIO DE LOS SAUCES	1.062
13	192	RIO CUARTO	SUCO	460
1	10C	CAPITAL	COMERCIAL	6.956
25	366	TULUMBA	LUCIO V MANSILLA	1.079
1	7B	CAPITAL	ALTA CORDOBA	22.364
1	11J	CAPITAL	SANTA ANA	17.400
8	110	JUAREZ CELMAN	EL RASTREADOR	58
1	14J	CAPITAL	URCA	8.164
18	264A	SAN ALBERTO	LOS ESPINILLOS	230
20	286	SAN JUSTO	DIEZ DE JULIO	159
21	325	SANTA MARIA	LOZADA	1.363
16	233	RIO SEGUNDO	COLAZO	1.404
16	238	RIO SEGUNDO	MATORRALES	971
26	402	UNION	VIAMONTE	1.542
14	200	RIO PRIMERO	DIEGO DE ROJAS	503
1	8B	CAPITAL	PUEYRREDON	19.647
8	111	JUAREZ CELMAN	HUANCHILLA	1.211
4	43B	CRUZ DEL EJE	CRUZ DE CAÑA	203
13	167	RIO CUARTO	BULNES	1.070
9	131A	MARCOS JUAREZ	VILLA ELISA	26
21	318	SANTA MARIA	RAFAEL GARCIA	633
1	1	CAPITAL	SECCIONAL PRIMERA	15.806
20	300	SAN JUSTO	MARINA	1.233
5	66	GENERAL ROCA	MATTALDI	1.599
1	13H	CAPITAL	PATRICIOS	17.594
9	121	MARCOS JUAREZ	BALDISSERA	1.985
26	385	UNION	ESCALANTE	1.361
9	123	MARCOS JUAREZ	CAMILO ALDAO	3.957
15	227A	RIO SECO	RINCONADA	464
26	384	UNION	PUEBLO ITALIANO	1.580
9	130	MARCOS JUAREZ	LA ITALIANA	653
9	132	MARCOS JUAREZ	LOS SURGENTES	2.479
15	225	RIO SECO	GUTEMBERG	839
26	387	UNION	IDIAZABAL	1.464
1	11A	CAPITAL	ALTO ALBERDI	23.631
17	255	ROQUE SAENZ PEÑA	ROSALES	511
23	337A	TERCERO ARRIBA	CNIA ALMADA	556
1	5B	CAPITAL	DEAN FUNES	1.905
9	128	MARCOS JUAREZ	INRIVILLE	3.404
14	215A	RIO PRIMERO	LA QUINTA	239
13	168	RIO CUARTO	CHAJAN	850
17	256	ROQUE SAENZ PEÑA	SAN JOAQUIN	129
24	356	TOTORAL	SIMBOLAR	301
5	59	GENERAL ROCA	BUCHARDO	1.712
7	91	ISCHILIN	AVELLANEDA	435
1	13A	CAPITAL	AYACUCHO	17.868
1	11D	CAPITAL	LOS NARANJOS	12.869
1	9A	CAPITAL	LA FRANCE	5.088
2	18B	CALAMUCHITA	CALERAS DE CALAMUCHITA	214
8	110A	JUAREZ CELMAN	PACHECO DE MELO	70
1	9C	CAPITAL	LOS PARAISOS	14.055
1	13N	CAPITAL	YOFRE	7.590
14	198	RIO PRIMERO	CAPILLA DE REMEDIOS	1.068
6	86	GRAL SAN MARTIN	SILVIO PELLICO	650
1	9	CAPITAL	ESCOBAR	6.072
16	234	RIO SEGUNDO	COSTA SACATE	1.426
1	9F	CAPITAL	SAN MARTIN	15.398
14	207	RIO PRIMERO	LAS SALADAS	250
14	201A	RIO PRIMERO	LAS GRAMILLAS	133
1	14F	CAPITAL	GRANJA DE FUNES	7.160
26	376	UNION	BISMARCK	422
20	299	SAN JUSTO	LUXARDO	370
23	347A	TERCERO ARRIBA	LAS ISLETILLAS	268
23	349A	TERCERO ARRIBA	GENERAL FOTHERINGHAM	366
3	36	COLON	LA PUERTA	281
14	222	RIO PRIMERO	VILLA FONTANA	942
1	13	CAPITAL	LEANDRO N. ALEM	9.501
9	124	MARCOS JUAREZ	CAVANAGH	1.069
25	368	TULUMBA	SAN JOSE DE LAS SALINAS	646
6	80	GRAL SAN MARTIN	LUCA	603
14	201	RIO PRIMERO	COLONIA LAS CUATRO ESQUINAS	100
1	12B	CAPITAL	COLON	23.471
17	254	ROQUE SAENZ PEÑA	RIO BAMBA	84
15	223	RIO SECO	CANDELARIA NORTE	770
16	237B	RIO SEGUNDO	PUEBLO LUDUEÑA	179
9	127	MARCOS JUAREZ	GUATIMOZIN	2.161
1	13C	CAPITAL	GENERAL BUSTOS	14.212
17	258	ROQUE SAENZ PEÑA	VILLA ROSSI	574
23	345	TERCERO ARRIBA	PAMPAYASTA NORTE	412
9	137	MARCOS JUAREZ	SAIRA	753
1	9B	CAPITAL	LAS MARGARITAS	8.141
11	146A	POCHO	TALA CAÑADA	283
26	390	UNION	MONTE LEÑA	517
15	226	RIO SECO	LOS HOYOS	441
23	343	TERCERO ARRIBA	LOS ZORROS	608
1	6	CAPITAL	ALTO GRAL PAZ	5.352
23	347	TERCERO ARRIBA	PUNTA DEL AGUA	234
9	128A	MARCOS JUAREZ	SALADILLO	129
14	199	RIO PRIMERO	CHALACEA	228
2	15	CALAMUCHITA	AMBOY	253
22	332	SOBREMONTE	POZO NUEVO	537
1	9G	CAPITAL	VILLA CABRERA	6.060
21	327	SANTA MARIA	MONTE RALO	469
5	71	GENERAL ROCA	VILLA SARMIENTO	299
1	14M	CAPITAL	VILLA CENTENARIO	10.022
2	18C	CALAMUCHITA	VILLA CAÑADA DEL SAUCE	64
1	5G	CAPITAL	SAN VICENTE	16.564
2	16C	CALAMUCHITA	VILLA BERNA	96
19	274	SAN JAVIER	SAN JAVIER	814
14	215	RIO PRIMERO	PLAZA DE MERCEDES	146
4	48	CRUZ DEL EJE	LA HIGUERA	521
11	145	POCHO	POCHO	508
22	334	SOBREMONTE	CHUÑAHUASI	341
